1	20
2	130
3	153
4	198
5	26
6	73
7	136
8	76
9	173
10	59
11	27
12	135
13	41
14	174
15	151
16	84
17	1
18	30
19	55
20	175
21	121
22	65
23	57
24	88
25	181
26	186
27	102
28	126
29	144
30	5
31	115
32	10
33	85
34	94
35	5
36	14
37	185
38	107
39	74
40	73
41	31
42	30
43	71
44	68
45	157
46	98
47	93
48	27
49	178
50	135
51	102
52	158
53	95
54	166
55	65
56	196
57	56
58	15
59	151
60	167
61	185
62	66
63	161
64	108
65	93
66	165
67	191
68	16
99	142
70	47
71	20
72	130
73	153
74	198
75	26
76	73
77	136
78	76
79	173
80	59
81	27
82	135
83	41
84	174
85	151
86	84
87	1
88	30
89	55
90	175
91	121
92	65
93	57
94	88
95	181
96	186
97	102
98	126
99	144
100	5
101	115
102	10
103	85
104	94
105	5
106	14
107	185
108	107
109	74
110	73
111	31
112	30
113	71
114	68
115	157
116	98
117	93
118	27
119	178
120	135
121	102
122	158
123	95
124	166
125	65
126	196
127	56
128	15
129	151
130	167
131	185
132	66
133	161
134	108
135	93
136	165
137	191
138	16
139	142
140	47
