2	1	16	19
3	1	27	19
4	1	32	19
5	1	14	19
6	1	28	19
7	1	9	19
8	1	39	19
9	1	29	19
10	1	7	19
11	1	18	19
12	1	26	19
13	1	38	19
14	1	22	19
15	1	26	19
16	1	28	19
17	1	37	19
18	1	7	19
19	1	17	19
20	1	13	19
21	1	28	19
22	1	36	19
23	1	20	19
24	1	33	19
25	1	14	19
26	1	22	19
27	1	16	19
28	1	36	19
29	1	28	19
30	1	34	19
31	1	5	19
32	1	12	19
33	1	31	19
34	1	9	19
35	1	2	19
36	1	18	19
37	1	38	19
38	1	11	19
39	1	23	19
40	1	15	19
41	1	2	19
42	1	21	19
43	1	34	19
44	1	11	19
45	1	2	19
46	1	10	19
47	1	27	19
48	1	14	19
49	1	27	19
50	1	1	19
