Problem Set Name,Time to Complete (ms),cMax
LL1,366,12.0
LL2,142,16.0
LL3,144,12.0
LL4,266,21.0
LL5,230,13.0
LM1,120,18.0
LM2,145,16.0
LM3,692,20.0
LM4,356,29.0
LM5,344,29.0
LH1,500,33.0
LH2,343,29.0
LH3,957,30.0
LH4,2167,32.0
LH5,1407,39.0
ML1,132,25.0
ML2,326,43.0
ML3,180,23.0
ML4,306,43.0
ML5,167,40.0
MM1,204,31.0
MM2,333,33.0
MM3,253,48.0
MM4,267,44.0
MM5,319,55.0
MH1,739,55.0
MH2,535,58.0
MH3,1170,43.0
MH4,2713,76.0
MH5,1440,57.0
HL1,150,30.0
HL2,199,48.0
HL3,203,57.0
HL4,108,56.0
HL5,196,43.0
HM1,239,23.0
HM2,191,62.0
HM3,291,51.0
HM4,339,70.0
HM5,356,63.0
HH1,405,77.0
HH2,930,81.0
HH3,758,84.0
HH4,649,90.0
HH5,2021,134.0
E20_1,3141,178.0
E20_2,2160,199.0
E20_3,2268,117.0
E20_4,2205,181.0
E20_5,2315,175.0
E30_1,4225,256.0
E30_2,16889,274.0
E30_3,3329,323.0
E30_4,3929,274.0
E30_5,7953,290.0
E40_1,20290,341.0
E40_2,31267,378.0
E40_3,11196,414.0
E40_4,8425,397.0
E40_5,2345,416.0
E50_1,56698,495.0
E50_2,15056,488.0
E50_3,20651,421.0
E50_4,27653,435.0
E50_5,6723,445.0
H20_1,1637,866.0
H20_2,2329,748.0
H20_3,2123,811.0
H20_4,2401,837.0
H20_5,1920,673.0
H30_1,14890,1042.0
H30_2,8968,1067.0
H30_3,8862,1107.0
H30_4,12043,1292.0
H30_5,8731,1008.0
H40_1,33852,1597.0
H40_2,23792,1470.0
H40_3,9904,1246.0
H40_4,7293,1350.0
H40_5,23818,1370.0
H50_1,30933,1563.0
H50_2,37986,1760.0
H50_3,34267,1587.0
H50_4,34454,1825.0
H50_5,66784,1635.0
